loc1,loc2,para1,dow,para2,para3,para4,price
0,06,3,Fri,333,22000.0,13.6,270.0
3,35,1,Mon,290,18000.0,13.6,550.0
6,63,1,Tue,456,6500.0,13.5,550.0
1,12,4,Thu,392,3960.0,2.4,173.33
9,97,3,Fri,387,1680.0,3.4,78.93
4,41,1,Thu,80,3960.0,6.8,400.0
8,81,1,Mon,455,8316.0,13.6,550.0
8,89,3,Fri,609,4288.0,6.8,450.0
8,85,1,Tue,344,4000.0,9.2,460.0
9,99,1,Thu,372,15000.0,13.6,510.0
1,13,1,Tue,668,18680.0,13.6,720.0
3,35,1,Thu,509,9000.0,4.5,400.0
2,22,1,Mon,320,3655.0,8.0,280.0
7,76,1,Wed,780,1100.0,1.5,333.33
0,06,1,Wed,215,24000.0,13.6,670.0
4,49,0,Fri,16,200.0,1.0,70.0
1,12,2,Wed,317,25048.0,14.0,450.0
1,14,1,Wed,213,1565.8,1.6,166.67
1,16,0,Fri,407,200.0,1.0,240.0
3,34,1,Thu,458,25027.8,13.6,570.0
0,06,1,Wed,606,3500.0,3.5,300.0
3,32,0,Wed,16,3500.0,9.0,270.0
7,73,1,Thu,425,9900.0,13.6,475.0
7,78,1,Thu,334,21000.0,13.6,400.0
0,01,3,Fri,536,16904.0,13.6,700.0
7,72,1,Tue,110,1050.0,2.8,185.0
2,22,1,Thu,260,3580.0,7.6,280.0
7,71,3,Fri,327,305.0,2.4,210.0
6,67,1,Wed,679,2232.0,10.4,714.0
1,14,1,Thu,28,12308.0,5.6,86.67
1,16,0,Tue,55,1650.0,1.1,90.0
1,10,1,Mon,644,3436.0,4.6,375.0
2,21,1,Thu,342,2100.0,1.1,240.0
3,33,1,Wed,422,10000.0,13.6,620.0
1,12,0,Mon,29,24480.0,13.6,200.0
1,15,0,Tue,144,2500.0,3.4,115.99
2,21,3,Fri,328,3715.0,6.8,260.0
5,50,1,Wed,331,1380.0,2.0,130.0
4,47,3,Fri,489,4000.0,5.5,350.0
1,17,1,Tue,843,2500.0,7.0,600.0
9,94,1,Wed,234,500.0,2.0,150.0
2,27,0,Fri,726,5000.0,13.6,780.0
0,03,1,Wed,565,7270.0,3.6,189.63
7,75,1,Wed,372,4745.0,5.9,275.0
2,25,1,Wed,678,24243.0,13.6,820.0
2,21,1,Tue,680,3623.0,2.0,160.0
0,06,1,Wed,215,3401.0,13.6,670.0
1,14,1,Mon,614,8288.0,13.6,1400.0
0,09,1,Wed,557,4000.0,4.0,180.0
4,41,1,Mon,403,1400.0,4.0,220.0
5,59,1,Thu,124,11468.0,6.8,400.0
0,08,2,Wed,1658,6500.0,13.6,1700.0
9,96,1,Tue,285,1700.0,3.6,230.0
0,06,3,Fri,215,20778.0,13.6,670.0
7,73,4,Fri,582,4000.0,6.4,360.0
0,09,1,Mon,326,2175.0,5.0,177.89
4,47,0,Mon,209,1000.0,3.0,150.0
4,40,1,Tue,16,15000.0,13.6,650.0
3,31,0,Thu,235,24140.0,13.6,350.0
7,79,1,Mon,682,2500.0,4.5,460.0
1,13,1,Mon,379,5000.0,8.5,325.0
9,99,1,Thu,166,1000.0,3.0,240.0
9,97,1,Wed,375,21416.0,13.6,550.0
7,71,1,Tue,680,8000.0,4.4,293.33
8,89,1,Wed,428,13242.0,6.8,289.5
0,09,1,Wed,490,9590.0,5.2,210.0
5,50,1,Wed,575,4568.0,3.2,170.0
0,01,1,Thu,527,3160.0,6.2,570.0
2,21,1,Mon,258,3545.0,5.0,290.0
0,09,1,Mon,467,929.0,6.0,390.0
7,70,5,Wed,339,5000.0,13.6,450.0
6,67,1,Mon,285,1726.0,2.0,302.0
3,35,1,Thu,340,1103.0,3.6,750.0
9,95,1,Thu,328,3757.0,3.0,160.0
7,74,3,Fri,434,4000.0,7.2,400.0
2,21,1,Thu,381,12445.0,6.8,534.04
2,21,0,Fri,221,20000.0,13.6,260.0
1,19,2,Wed,280,24000.0,13.6,350.0
9,93,1,Mon,344,5500.0,6.0,325.0
2,22,1,Mon,277,24000.0,13.6,320.0
2,21,1,Wed,580,22000.0,13.6,650.0
0,02,1,Wed,534,16887.0,8.0,725.0
3,33,1,Tue,382,1000.0,3.7,240.0
2,24,1,Thu,562,912.0,6.24,350.0
1,14,1,Thu,395,22700.0,12.4,480.0
1,12,1,Tue,586,2408.0,3.0,200.0
4,42,3,Fri,519,2000.0,3.5,210.0
9,95,1,Thu,308,23980.0,10.8,450.0
8,86,2,Mon,652,5462.0,4.0,500.0
6,67,1,Tue,624,13000.0,5.2,402.0
2,21,3,Fri,577,4374.0,2.0,180.0
1,15,1,Tue,491,6600.0,13.6,315.0
0,08,1,Thu,306,22100.0,13.6,600.0
5,53,1,Wed,454,2000.0,1.6,233.33
9,95,1,Tue,473,10800.0,4.4,430.0
1,16,1,Wed,309,23480.0,14.0,400.0
2,21,1,Thu,753,3400.0,3.0,380.0
4,48,1,Tue,138,4390.0,3.9,280.0
1,12,1,Wed,595,26225.0,13.6,700.0
7,79,1,Wed,466,7037.0,4.5,176.67
3,30,1,Mon,535,5636.0,5.2,485.0
3,30,1,Tue,613,8000.0,13.6,750.0
5,53,1,Mon,649,11138.0,6.8,680.0
8,85,1,Wed,480,1340.0,4.0,800.0
2,20,4,Thu,755,16536.0,13.6,1140.0
2,25,1,Wed,309,18000.0,13.6,250.0
7,78,0,Thu,120,24000.0,13.6,400.0
1,14,0,Mon,154,3000.0,4.6,222.65
5,55,1,Mon,437,17000.0,13.6,750.0
4,49,3,Fri,452,2817.3,3.2,206.0
9,93,4,Fri,925,1900.0,3.5,487.5
4,41,1,Thu,901,15968.0,8.6,1300.0
3,34,0,Mon,253,13260.0,13.6,650.0
3,30,1,Tue,555,18000.0,13.6,800.0
2,28,1,Thu,882,435.0,1.2,506.67
2,21,1,Tue,278,3000.0,4.4,190.0
3,31,0,Tue,232,22000.0,13.6,270.0
3,32,1,Tue,367,12250.0,8.4,240.0
0,01,1,Thu,318,3300.0,6.0,365.0
2,22,1,Wed,689,4179.0,9.6,507.1
6,67,1,Wed,416,1062.0,2.25,236.67
3,35,3,Fri,500,15000.0,13.6,630.0
0,02,4,Fri,520,2500.0,3.8,250.0
0,04,1,Thu,161,800.0,2.0,250.0
9,91,0,Fri,492,7000.0,13.6,750.0
1,14,1,Wed,192,1812.7,2.0,166.67
0,06,1,Mon,397,24198.3,13.6,500.0
0,03,1,Wed,390,19800.0,13.6,540.0
3,30,1,Mon,336,12729.0,11.6,420.0
6,66,3,Fri,715,2900.0,4.4,250.0
1,13,1,Thu,160,20000.0,13.6,230.0
9,90,1,Thu,444,7500.0,6.8,285.0
2,27,2,Tue,855,2459.0,4.8,500.0
9,96,1,Fri,405,5001.0,3.4,225.0
3,33,1,Tue,324,2689.0,5.6,420.0
1,10,0,Fri,366,22000.0,13.6,730.0
0,06,1,Tue,323,24500.0,13.6,550.0
3,33,1,Mon,478,12000.0,5.6,260.0
0,01,1,Tue,809,2160.0,6.5,750.0
3,31,1,Thu,850,1879.0,13.6,800.0
2,21,2,Tue,429,13480.0,5.2,668.57
0,02,1,Thu,94,1200.0,1.0,280.0
1,12,2,Wed,473,15000.0,13.2,550.0
0,06,1,Wed,338,10000.0,7.0,175.0
1,15,2,Mon,1059,15000.0,13.6,1750.0
3,38,1,Tue,215,21000.0,13.6,400.0
5,58,1,Thu,457,1600.0,6.0,500.0
6,60,1,Tue,545,4490.0,6.0,266.67
0,06,1,Tue,350,2079.0,6.8,220.0
2,22,1,Mon,305,17000.0,13.6,450.0
1,19,1,Mon,193,20000.0,13.6,275.0
7,78,1,Mon,374,2150.0,6.4,270.0
5,50,3,Fri,583,12390.0,4.4,380.0
4,45,1,Wed,365,13484.0,9.2,400.0
2,22,1,Wed,719,3572.0,10.8,1200.0
3,33,1,Tue,579,2000.0,6.4,375.0
2,23,1,Tue,275,6800.0,6.8,220.0
2,20,4,Fri,328,25000.0,13.6,420.0
4,44,3,Fri,606,3840.0,4.0,166.67
5,52,1,Mon,507,4000.0,13.6,900.0
7,74,2,Wed,690,24000.0,13.6,950.0
5,57,1,Mon,288,3500.0,4.4,186.67
0,09,3,Fri,638,10000.0,8.0,500.0
9,90,1,Thu,328,2925.0,2.4,174.0
1,13,1,Mon,305,2245.0,5.0,250.0
7,74,1,Wed,292,3360.0,4.5,196.67
0,08,1,Mon,401,21610.0,13.6,500.0
1,15,1,Wed,289,9980.0,4.0,250.0
9,90,3,Fri,369,11000.0,13.6,480.0
3,34,1,Thu,378,1300.0,4.0,340.0
2,22,1,Wed,321,12254.0,6.8,260.0
7,70,1,Wed,599,9250.0,13.6,820.0
0,06,1,Mon,546,24483.0,13.6,650.0
2,20,1,Wed,175,19894.0,13.6,350.0
0,01,3,Fri,573,3360.0,3.5,680.0
0,09,3,Fri,34,1020.0,6.0,350.0
9,97,3,Fri,306,10000.0,6.8,227.5
0,06,1,Mon,585,7500.0,6.8,175.0
2,20,1,Thu,296,10200.0,6.0,280.0
2,21,1,Wed,481,1800.0,2.4,330.0
2,22,1,Thu,391,3000.0,7.0,400.0
2,21,1,Tue,329,9297.0,13.6,400.0
3,33,1,Thu,467,5564.0,6.4,400.0
5,58,3,Fri,500,24000.0,13.6,600.0
3,34,1,Mon,408,1561.0,6.8,293.15
6,67,1,Thu,601,1056.0,4.0,362.0
1,19,1,Thu,193,20000.0,13.6,275.0
2,27,1,Mon,439,16715.0,9.0,300.0
7,73,1,Tue,667,13382.0,13.6,700.0
2,23,1,Mon,737,6000.0,13.0,820.0
3,39,3,Fri,483,7000.0,13.6,595.0
3,35,1,Tue,509,9202.0,4.5,400.0
2,21,0,Tue,20,5000.0,13.6,150.0
9,95,1,Thu,368,2450.0,3.6,250.0
5,52,1,Mon,276,2857.0,3.5,200.0
2,21,1,Tue,643,11559.0,8.8,425.0
3,33,3,Fri,534,6000.0,5.0,450.0
3,31,1,Wed,275,22360.0,13.2,400.0
4,42,1,Wed,378,4000.0,4.55,550.0
2,21,1,Thu,318,2300.0,2.0,230.0
5,51,1,Thu,598,6630.0,13.2,1000.0
3,37,1,Tue,319,4964.0,11.6,250.0
2,21,3,Fri,314,22291.0,13.6,400.0
0,04,1,Mon,369,5000.0,13.6,200.0
9,95,1,Wed,496,2260.0,5.2,320.0
2,22,1,Wed,312,4000.0,4.6,150.0
0,02,3,Fri,267,24500.0,13.6,350.0
7,74,1,Mon,429,790.0,4.8,280.0
1,10,0,Mon,16,3000.0,6.0,150.0
0,03,4,Thu,1177,4996.0,6.0,1730.0
0,03,1,Tue,403,24000.0,13.6,500.0
0,01,1,Mon,196,24000.0,13.6,345.0
8,86,0,Wed,119,4200.0,5.0,250.0
3,31,1,Thu,321,1996.0,13.6,440.0
8,88,1,Thu,666,1030.0,4.3,375.0
7,71,1,Wed,640,17992.0,9.0,600.0
0,05,1,Wed,212,2098.0,13.6,250.0
2,21,2,Mon,837,21944.0,13.6,1400.0
8,89,1,Wed,432,10780.0,6.8,265.0
8,89,1,Thu,400,11605.0,6.8,270.0
5,54,3,Fri,796,23332.0,13.6,1300.0
2,28,1,Wed,400,5750.0,6.8,260.0
3,32,1,Wed,361,12000.0,6.8,235.0
1,12,1,Mon,561,25000.0,13.6,650.0
6,67,3,Fri,652,4950.0,6.8,397.5
0,06,1,Mon,227,4997.0,2.8,96.0
8,88,0,Tue,274,18334.0,13.6,360.0
3,32,3,Fri,349,22860.0,24.8,450.0
9,91,1,Mon,530,4200.0,3.2,380.0
2,21,2,Wed,1067,6429.0,5.2,540.0
7,76,1,Wed,678,7369.0,4.0,416.67
2,22,1,Wed,840,5350.0,6.4,400.0
0,08,3,Fri,465,13000.0,5.0,310.0
4,49,1,Tue,523,7566.0,3.8,365.0
6,67,1,Mon,307,15336.0,13.6,400.0
2,21,1,Mon,345,5300.0,13.6,400.0
0,04,1,Tue,419,24908.0,26.4,310.0
2,22,1,Wed,756,15628.0,8.8,300.0
8,86,1,Mon,756,11391.0,4.6,900.11
8,89,1,Thu,518,9250.0,6.8,325.0
0,04,3,Fri,630,10000.0,13.6,930.0
1,12,3,Fri,365,4650.0,2.4,260.0
2,21,1,Wed,17,4090.0,3.0,370.0
0,06,0,Wed,331,18888.0,13.6,300.0
0,08,0,Mon,280,12000.0,6.8,400.0
2,28,1,Wed,737,10000.0,13.6,900.0
3,36,1,Thu,466,24980.0,13.6,590.0
7,73,3,Fri,587,1141.0,2.8,250.0
6,67,1,Thu,606,10268.0,5.4,276.67
2,21,3,Fri,736,4278.0,4.8,387.88
7,72,0,Fri,139,4000.0,6.8,200.0
7,76,1,Fri,306,9400.0,13.6,520.0
0,03,1,Wed,623,5926.0,2.4,217.04
3,31,1,Thu,385,4503.0,8.4,250.0
3,33,3,Fri,414,4181.0,2.8,240.0
8,88,1,Thu,586,5084.0,13.6,550.0
1,12,4,Fri,380,8000.0,4.0,300.0
6,66,3,Fri,552,8400.0,5.6,390.0
0,05,2,Tue,593,2662.0,13.6,780.0
1,14,1,Tue,447,3500.0,6.8,66.64
7,74,4,Fri,414,24300.0,13.6,900.0
4,48,1,Thu,364,4086.0,5.6,340.0
0,03,1,Tue,407,3622.0,6.8,520.0
5,51,1,Tue,249,3112.0,9.2,430.0
4,49,1,Wed,443,9820.0,4.0,240.76
4,41,1,Thu,554,2698.0,3.2,365.0
3,35,1,Tue,591,3390.0,3.0,415.0
2,28,1,Thu,119,7200.0,4.36,175.0
4,47,1,Wed,581,900.0,1.6,212.5
6,63,4,Thu,789,3000.0,3.0,550.0
0,06,3,Fri,449,24500.0,13.6,380.0
1,14,1,Mon,705,11824.0,6.8,425.0
1,15,1,Mon,639,6925.0,13.6,760.0
9,95,1,Thu,287,5500.0,3.4,137.5
4,40,1,Wed,240,9000.0,13.6,550.0
3,31,1,Thu,273,1121.0,6.8,210.0
5,50,3,Fri,554,20000.0,13.6,680.0
8,86,1,Tue,747,16907.0,10.4,500.0
8,82,3,Fri,594,1800.0,8.8,630.0
9,91,1,Thu,504,22500.0,13.6,590.0
3,36,3,Fri,716,8167.0,10.6,490.0
7,79,3,Fri,805,3000.0,10.0,1031.66
2,23,0,Tue,16,20000.0,13.6,300.0
2,21,1,Thu,344,800.0,4.0,198.33
1,16,0,Fri,151,5000.0,11.2,312.68
8,86,3,Fri,614,3492.0,1.6,187.5
4,41,1,Tue,555,1282.0,3.6,250.0
5,51,3,Fri,534,6190.0,8.4,750.0
9,95,3,Fri,380,3206.0,2.8,140.0
2,23,1,Wed,720,5168.0,2.67,343.33
5,54,3,Fri,666,8750.0,7.0,235.0
3,34,1,Thu,312,9060.0,12.46,480.0
7,79,1,Mon,604,3220.0,2.8,287.5
5,50,1,Thu,235,1076.0,2.5,250.0
1,14,0,Mon,34,750.0,5.2,230.0
8,81,1,Wed,594,7500.0,10.0,700.0
4,47,1,Thu,590,5369.0,6.0,400.0
9,90,1,Wed,436,2100.0,5.6,500.0
3,31,1,Wed,308,24000.0,13.6,380.0
1,15,1,Tue,339,1340.0,3.0,190.0
5,56,1,Thu,228,2280.0,5.6,280.0
8,86,2,Thu,721,24000.0,13.6,880.0
0,03,1,Tue,640,6919.0,3.2,345.13
3,31,1,Tue,273,3700.0,2.8,220.0
5,55,1,Wed,420,1689.0,4.4,275.0
2,21,3,Fri,319,2832.0,13.6,450.0
7,76,3,Fri,384,4000.0,5.0,360.0
8,89,3,Fri,449,24599.0,13.6,500.0
4,49,1,Wed,401,1980.0,1.0,197.5
2,21,1,Wed,322,12998.0,13.6,430.0
6,67,3,Fri,615,1000.0,2.4,276.67
9,96,3,Fri,625,1000.0,2.0,350.0
0,06,1,Mon,215,21402.0,13.6,670.0
7,70,3,Fri,624,2088.0,3.6,320.0
2,21,1,Thu,304,2842.0,6.8,215.0
0,06,1,Thu,584,7500.0,6.8,175.0
5,58,1,Tue,434,24000.0,13.6,650.0
0,05,1,Wed,734,5613.0,6.1,333.33
1,14,0,Fri,380,2736.0,3.6,200.0
5,55,1,Wed,548,2500.0,2.8,260.0
5,59,1,Wed,520,8000.0,5.6,393.33
1,16,1,Tue,545,6000.0,6.0,300.0
7,74,1,Thu,528,13120.0,13.6,540.0
0,06,1,Wed,361,23153.0,13.6,460.0
7,77,1,Thu,511,1308.0,8.0,370.0
0,01,1,Mon,545,9268.0,13.6,715.0
3,30,1,Mon,524,18300.0,13.6,670.0
1,13,1,Mon,373,3212.0,3.5,280.0
0,04,1,Tue,16,23500.0,13.6,440.0
2,22,1,Mon,337,3620.0,6.8,250.0
9,94,1,Tue,598,8000.0,13.6,1100.0
8,86,0,Wed,54,1146.0,4.0,125.0
8,84,1,Wed,553,3165.0,6.0,400.0
4,40,1,Thu,407,18015.0,2.4,350.0
1,12,0,Thu,99,24000.0,13.6,250.0
8,81,1,Wed,137,2000.0,2.4,112.5
4,47,3,Fri,599,4342.0,4.8,350.0
5,55,1,Wed,430,20502.0,13.6,450.0
2,20,1,Tue,711,1355.0,3.0,300.0
1,12,0,Fri,232,12000.0,7.0,210.0
1,15,1,Mon,445,2100.0,6.4,300.0
2,22,3,Fri,272,5482.0,3.6,210.0
9,95,1,Mon,284,6378.0,4.3,275.0
0,01,1,Thu,322,2624.0,5.2,450.0
9,95,0,Fri,324,20000.0,13.6,300.0
0,03,3,Fri,2072,3420.0,4.0,2350.0
2,22,1,Tue,353,1650.0,3.6,210.0
4,41,1,Mon,408,24000.0,13.6,450.0
7,76,1,Wed,621,9060.0,12.8,850.0
0,04,1,Mon,608,5110.0,5.0,350.0
6,67,1,Mon,31,23425.0,13.6,1000.0
8,89,3,Fri,636,202.0,2.72,210.0
3,30,1,Thu,440,8000.0,13.2,420.0
5,56,1,Wed,234,500.0,3.0,125.0
7,76,1,Tue,698,500.0,1.5,415.0
6,65,1,Mon,328,18000.0,13.6,520.0
4,49,3,Fri,322,3698.0,5.6,310.0
0,03,1,Thu,554,7059.0,4.3,380.0
1,16,1,Thu,327,16443.0,13.6,450.0
4,47,1,Mon,599,24000.0,13.6,750.0
0,01,3,Fri,489,647.0,6.8,305.0
0,07,1,Thu,686,1228.0,3.2,300.0
2,29,1,Tue,561,4775.0,3.4,212.5
3,31,1,Wed,298,25000.0,13.6,410.0
2,28,1,Tue,537,1445.0,4.95,246.67
9,91,1,Wed,499,6506.0,4.0,275.0
5,51,1,Tue,596,7490.0,3.2,320.0
2,24,1,Tue,348,4160.0,6.4,240.0
0,03,1,Wed,372,23579.0,13.6,420.0
4,45,1,Wed,564,1164.0,1.2,120.0
7,73,0,Thu,170,25000.0,13.6,280.0
2,21,1,Tue,355,1027.0,3.6,210.0
0,01,3,Fri,192,19567.0,13.6,345.0
2,23,3,Fri,353,8000.0,13.6,400.0
1,16,1,Thu,555,24000.0,13.6,700.0
7,73,1,Thu,312,1500.0,1.0,250.0
0,04,1,Wed,315,3272.0,6.8,220.0
8,86,1,Thu,517,3395.0,2.4,233.33
0,06,1,Wed,529,15312.0,13.6,600.0
6,67,1,Wed,620,4602.0,7.0,425.0
9,99,1,Thu,336,13300.0,9.6,255.0
5,59,1,Tue,499,10000.0,6.2,387.5
3,36,0,Thu,78,20000.0,13.6,330.0
7,74,3,Fri,391,1700.0,4.4,280.0
1,14,0,Mon,349,15000.0,13.6,460.0
0,01,3,Fri,535,10000.0,10.0,350.0
0,02,4,Thu,1009,1650.0,13.6,900.0
0,09,1,Mon,322,11500.0,13.6,650.0
1,12,3,Fri,576,7000.0,6.8,360.0
0,06,1,Mon,743,6210.0,6.0,400.0
2,21,1,Mon,341,23138.0,13.2,430.0
5,59,1,Thu,454,1200.0,3.2,300.0
0,06,1,Thu,568,8240.0,6.8,185.0
0,09,1,Tue,443,4000.0,6.0,390.0
5,59,3,Fri,148,7000.0,13.6,220.0
4,48,1,Fri,565,19748.0,13.6,690.0
9,96,1,Tue,525,22437.0,13.6,1350.0
1,12,1,Thu,597,10000.0,13.6,780.0
5,50,1,Wed,610,4377.0,2.4,325.0
3,31,3,Fri,384,702.0,3.6,206.67
4,41,1,Wed,449,23928.0,13.6,450.0
4,41,1,Tue,558,3920.0,6.8,380.0
2,21,1,Thu,157,11000.0,6.5,240.0
3,31,0,Thu,315,23443.0,13.2,350.0
